Predicted,Target,Category,Problem
30,30,physics,"pipe a can fill a tank in 10 hours . due to a leak at the bottom , it takes 15 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?"
2:01,1:05,physics,5 women can do a work in two days . 10 men can complete the same work in five days . what is the ratio between the capacity of a man and a woman ?
34,163,general,what is the positive difference between the sum of the squares of the first 8 positive integers and the sum of the prime numbers between the first square and fourth square ?
16,71,general,"the average age of 19 persons in a office is 15 years . out of these , the average age of 5 of them is 14 years and that of the other 9 persons is 16 years . the age of the 15 th person is ?"
$21.60,$22.40,gain,"a pet store regularly sells pet food at a discount of 10 percent to 30 percent from the manufacturer â€™ s suggested retail price . if during a sale , the store discounts an additional 20 percent from the discount price , what would be the lowest possible price of a container of pet food that had a manufacturer â€™ s suggested retail price o f $ 40.00 ?"
30,5,geometry,"the perimeter of an equilateral triangle is 60 . if one of the sides of the equilateral triangle is the side of an isosceles triangle of perimeter 45 , then how long is the base of isosceles triangle ?"
88,16,geometry,"a small table has a length of 12 inches and a breadth of b inches . cubes are placed on the surface of the table so as to cover the entire surface . the maximum side of such cubes is found to be 4 inches . also , a few such tables are arranged to form a square . the minimum length of side possible for such a square is 80 inches . find b ."
5:8,5:8,general,calculate the ratio between x and y if 25 % of x equal to 40 % of y ?
0.3,0.3,general,. 003 / ? = . 01
2.24,1.58,general,"if âˆš 10 = 3.16 , find the value of if âˆš 5 / 2"
80,80,physics,"the length of a rectangular plot is 20 metres more than its breadth . if the cost of fencing the plot @ rs . 26.50 per metre is rs . 7420 , what is the length of the plot in metres ?"
20 days,18 days,physics,30 men can do a work in 40 days . when should 12 men leave the work so that the entire work is completed in 40 days after they leave the work ?
$115.80,$115.80,general,"carrie likes to buy t - shirts at the local clothing store . they cost $ 9.65 each . one day , she bought 12 t - shirts . how much money did she spend ?"
12,12,physics,a train 110 m long is running with a speed of 30 km / h . in how many seconds will the train pass a man who is running at 3 km / h in the direction opposite to that in which the train is going ?
"$5,714","$5,714",gain,"kanul spent $ 3000 in buying raw materials , $ 1000 in buying machinery and 30 % of the total amount he had as cash with him . what was the total amount ?"
52,52,general,"a sporting goods store sold 64 frisbees in one week , some for $ 3 and the rest for $ 4 each . if receipts from frisbee sales for the week totaled $ 204 , what is the fewest number of $ 3 frisbees that could have been sold ?"
7.69,7.69,physics,"two trains 110 meters and 200 meters in length respectively are running in opposite directions , one at the rate of 80 km and the other at the rate of 65 kmph . in what time will they be completely clear of each other from the moment they meet ?"
375,375,general,how many 1 / 10 s are there in 37 1 / 2 ?
43,43,gain,"a circle graph shows how the megatech corporation allocates its research and development budget : 12 % microphotonics ; 24 % home electronics ; 15 % food additives ; 29 % genetically modified microorganisms ; 8 % industrial lubricants ; and the remainder for basic astrophysics . if the arc of each sector of the graph is proportional to the percentage of the budget it represents , how many degrees of the circle are used to represent basic astrophysics research ?"
$150,$150,gain,"how much interest will $ 10,000 earn in 3 months at an annual rate of 6 % ?"
Infinite,3,general,"how many different values of positive integer x , for which | x + 9 | < x , are there ?"
25,26,general,if the average of 10 consecutive integers is 21.5 then the 10 th integer is : -
5:14,5:14,general,"in a box of 8 pens , a total of 3 are defective . if a customer buys 2 pens selected at random from the box , what is the probability that neither pen will be defective ?"
10000,10000,physics,in filling a room with gas 100 m * 10 m * 10 m the volumes of gas will be ?
240 meters,270,physics,a train passes a station platform in 30 sec and a man standing on the platform in 12 sec . if the speed of the train is 54 km / hr . what is the length of the platform ?
10 units,10 units,geometry,a right triangle is inscribed in a circle . the legs of the triangle have lengths 6 and 8 . what is the diameter of the circle ?
9.6,9.6,gain,what is 15 percent of 64 ?
10 cans,15 cans,general,"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 55 - ounce cans or 15 - ounce cans of chili paste . if the restaurant must order 30 more of the smaller cans than the larger cans to fulfill its weekly needs , then how many larger cans are required to fulfill its weekly needs ?"
5740,5740,general,"for any positive integer n , the sum of the first n positive integers equals n ( n + 1 ) / 2 . what is the sum of all the even integers between 99 and 181 ?"
Rs. 36,4000,general,"a salesman Ã¢ â‚¬ â„¢ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1000 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 800 more than that by the previous schema , his sales were worth ?"
4,4,general,"if k is an integer and 0.0010101 x 10 ^ k is greater than 10 , what is the least possible value of k ?"
3^3,81,general,"if a and b are positive integers and ( 3 ^ a ) ^ b = 3 ^ 3 , what is the value of 3 ^ a * 3 ^ b ?"
1:03,1:06,probability,"a gardener is going to plant 2 red rosebushes and 2 white rosebushes . if the gardener is to select each of the bushes at random , one at a time , and plant them in a row , what is the probability that the 2 rosebushes in the middle of the row will be the red rosebushes ?"
140,140,other,"a certain university will select 1 of 5 candidates eligible to fill a position in the mathematics department and 2 of 8 candidates eligible to fill 2 identical positions in the computer science department . if none of the candidates is eligible for a position in both departments , how many different sets of 3 candidates are there to fill the 3 positions ?"
216,216,physics,"what will be the lcm of 8 , 24 , 36 and 54"
56,56,general,a number exceeds by 35 from its 3 / 8 part . then the number is ?
0.9,0.9,general,"if 0.75 : x : : 5 : 6 , then x is equal to :"
24 seconds,11.7,physics,"two trains of equal lengths take 10 sec and 14 sec respectively to cross a telegraph post . if the length of each train be 120 m , in what time will they cross other travelling in opposite direction ?"
308 cmÂ²,42 cm 2',geometry,"four equal circles are described about the four corners of a square so that each touches two of the others . if a side of the square is 14 cm , then the area enclosed between the circumferences of the circles is :"
0,1,general,"in the coordinate plane , line a has a slope of - 1 and an x - intercept of 1 . line b has a slope of 4 and a y - intercept of - 4 . if the two lines intersect at the point ( a , b ) , what is the sum a + b ?"
12100,12100,gain,"if the annual increase in the population of a town is 10 % and the present number of people is 10000 , what will the population be in 2 years ?"
20 and 21,20 and 21,physics,the sum of two consecutive integers is 41 . find the numbers .
62.83 cm,62.83 cm,physics,calculate the circumference of a circular field whose radius is 10 centimeters .
55.25,55.25,gain,"a certain company â€™ s profit in 1996 was 15 percent greater than its profit in 1995 , and its profit in 1997 was 35 percent greater than its profit in 1996 . the company â€™ s profit in 1997 was what percent greater than its profit in 1995 ?"
86400,86400,gain,"a , b and c started a partnership business by investing rs . 12000 , rs . 16000 , rs . 20000 respectively . at the end of the year , the profit were distributed among them . if c ' s share of profit is 36000 , what is the total profit ?"
3:7,3:7,physics,"two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively . if they cross each other in 24 seconds , what is the ratio of their speeds ?"
$2.33,2.5,gain,"sarah operated her lemonade stand monday through friday over a two week period and made a total profit of 450 dollars . on hot days she sold cups of lemonade for a price that was 25 percent higher than the regular days . each cup she sold had a total cost of 75 cents and sarah did not incur any other costs . if every day she sold exactly 32 cups and 3 of the days were hot , then what was the price of 1 cup on a hot day ?"
35,32.34,physics,"at sandi â€™ s pet shop , 25 cups of bird seed are used every 5 days to feed 15 parakeets . how many cups of bird seed would be required to feed 14 parakeets for 7 days ?"
24/29,24/49,other,"there are 2 available positions and 50 candidates , one half of whom are democrats and another half are republicans . if it was decided that the positions would be filled at random , then what is the probability e that the both positions will be taken by members of just one party ?"
48,48,general,a car travels from point a to point b . the average speed of the car is 60 km / hr and it travels the first half of the trip at a speed of 80 km / hr . what is the speed of the car in the second half of the trip ?
11680,11680,gain,sonika deposited rs . 8000 which amounted to rs . 11200 after 3 years at simple interest . had the interest been 2 % more . she would get how much ?
17,17,gain,"a manufacturer sells a pair of glasses to a wholesale dealer at a profit of 18 % . the wholesaler sells the same to retailer at a profit of 20 % . the retailer in turn sells them to a customer for rs . 30.09 , there by earning a profit of 25 % . the cost price for the manufacturer is :"
48,48,gain,"how long will a boy take to run round a square field of side 40 meters , if he runs at the rate of 12 km / hr ?"
32550,32550,general,the sum of the first 50 positive even integers is 2550 . what is the sum of the even integers from 602 to 700 inclusive ?
35,35,general,the average runs scored by a batsman in 10 matches is 40 . in the next 10 matches the batsman scored an average of 30 runs . find his average in all the 20 matches ?
200,290,general,there are 300 giraffes at a large zoo . the number of giraffes is 3 times the number of all the other animals combined . how many more giraffes are there than non giraffes animals at the zoo ?
7/16,7/16,general,"bucket a is 1 / 4 full of sand , and bucket b , which has one - half the capacity of bucket a , is 3 / 8 full of sand . jana pours the contents of bucket b into bucket a . bucket a is now filled to what fraction of its capacity ?"
4,4,general,"if n is an integer , f ( n ) = f ( n - 1 ) - n and f ( 4 ) = 15 . what is the value of f ( 6 ) ?"
16000,14000,general,"a salesman â€™ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1100 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 600 more than that by the previous schema , his sales were worth ?"
48,48,general,andy solves problems 78 to 125 inclusive in a math exercise . how many problems does he solve ?
3/8,3/8,general,"a fair 2 sided coin is flipped 3 times . what is the probability that tails will be the result at least twice , but not more than 3 times ?"
30,30,general,a ' and ' b ' are positive integers such that their lcm is 20 and their hcf is 1 . what is the addition of the maximum and minimum possible values of ' a + b ' ?
1/5,1/5,general,3 / 5 of all married couples have more than one child . 2 / 5 of all married couples have more than 3 children . what fraction of all married couples have 2 or 3 children ?
48,1.3,physics,"one pump drains one - half of a pond in 2 hours , and then a second pump starts draining the pond . the two pumps working together finish emptying the pond in one - half hour . how long would it take the second pump to drain the pond if it had to do the job alone ?"
17,17,general,"if 2 ^ 2 n + 2 ^ 2 n + 2 ^ 2 n + 2 ^ 2 n = 4 ^ 18 , then n ="
34,34,gain,a fair price shopkeeper takes 10 % profit on his goods . he lost 40 % goods during theft . his loss percent is :
12.8,60,physics,a and b go around a circular track of length 300 m on a cycle at speeds of 34 kmph and 50 kmph . after how much time will they meet for the first time at the starting point ?
120,120,general,"in cliff â€™ s impressive rock collection , there are half as many igneous rocks as sedimentary rocks . of the igneous rocks , 3 / 4 are shiny and the rest are matte , while 1 / 5 of the sedimentary rocks are shiny . if there are 30 shiny igneous rocks , how many total rocks does cliff have ?"
53,53,other,"two assembly line inspectors , smithy and glen , inspect widgets as they come off the assembly line . if smithy inspects every fifth widget , starting with the fifth , and glen inspects every third , starting with the third , how many of the 98 widgets produced in the first hour of operation are not inspected by either inspector ?"
78,78,general,"what is the sum of the numbers between 1 and 12 , inclusive ?"
95,95,physics,the speed of a car is 120 km in the first hour and 70 km in the second hour . what is the average speed of the car ?
30,42,other,"in a class of 60 children , 30 % children can speak only english , 20 % hindi and english both and the rest of the children can speak only hindi . how many children can speak hindi ?"
1280,1280,gain,25 % of a number is more than 20 % of 650 by 190 . find the number ?
32,32,geometry,"george ' s car calls for 8 ounces of oil for each cylinder used . his car ' s engine has 6 cylinders . if 16 ounces of oil has already been put into the engine used , then how many additional ounces of oil are needed ?"
50,65,general,a car traveled 35 % of the way from town x to town y at an average speed of 35 mph . the car traveled at an average speed of v mph for the remaining part of the trip . the average speed for the entire trip was 50 mph . what is v in mph ?
200,600,gain,"if the compound interest on a certain sum of money for 2 years at 10 % per annum be rs . 993 , what would be the simple interest ?"
2,2,general,"hammers and wrenches are manufactured at a uniform weight per hammer and a uniform weight per wrench . if the total weight of two hammers and two wrenches is one - third that of 8 hammers and 5 wrenches , then the total weight of one wrench is how many times that of one hammer ?"
200,185.5,other,"tea worth rs . 126 per kg are mixed with a third variety in the ratio 1 : 1 : 2 . if the mixture is worth rs . 163 per kg , the price of the third variety per kg will be"
65,30,general,"in an examination , 25 % of total students failed in hindi , 40 % failed in english and 35 % in both . the percentage of these who passed in both the subjects is :"
7.8,7.8,general,"the total circumference of two circles is 49 . if the first circle has a circumference that is exactly twice the circumference of the second circle , then what is the approximate sum of their two radii ?"
42.85,42.85,general,a certain pair of used shoes can be repaired for $ 10.50 and will last for 1 year . a pair of the same kind of shoes can be purchased new for $ 30.00 and will last for 2 years . the average cost per year of the new shoes is what percent greater than the cost of repairing the used shoes ?
12,12,physics,"a cistern can be filled by a tap in 4 hours while it can be emptied by another tap in 6 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?"
8:9,32 : 45,gain,"a and b invests rs . 8000 and rs . 9000 in a business . after 4 months , a withdraws half of his capital and 2 months later , b withdraws one - third of his capital . in what ratio should they share the profits at the end of the year ?"
84,84,physics,a runs twice as fast as b and gives b a start of 42 m . how long should the racecourse be so that a and b might reach in the same time ?
88,88,other,"in a certain town , the ratio of ny yankees fans to ny mets fans is 3 : 2 , and the ratio of ny mets fans to boston red sox fans is 4 : 5 . if there are 330 baseball fans in the town , each of whom is a fan of exactly one of those three teams , how many ny mets fans are there in this town ?"
5,4,general,what is the 26 th digit to the right of the decimal point in the decimal form of 6 / 11 ?
169,169,geometry,what is the area of square field whose side of length 13 m ?
5,5,gain,a can complete a certain job in 9 days . b is 80 % more efficient than a . in how many days can b complete the same job ?
none,none,geometry,"a metallic sheet is of rectangular shape with dimensions 50 m x 30 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 5 m , the volume of the box ( in m cube ) is :"
50,50,gain,in what time a sum of money double itself at 2 % per annum simple interest ?
36/11,36/11,physics,"a , b , c can complete a piece of work in 18 , 6,12 days . working together , they complete the same work in how many days ?"
1,1,physics,"if the horse can run 10 miles / hour , how many days would it take for a horse to run from new york city to washington . d . c . ? ( 240 miles from nyc to d . c . )"
-11,-11,general,solve below question 2 x + 1 = - 21
2.469,2.469,general,solution for 2.12 + . 004 + . 345
1/2,1/2,probability,in a throw of dice what is the probability of ge Ã¦ Â« ng number greater than 3
26,s.65,gain,"a reduction of 25 % in the price of oil enables a house wife to obtain 5 kgs more for rs . 1300 , what is the reduced price for kg ?"
99,99,general,"how many paying stones , each measuring 2 1 / 2 m * 2 m are required to pave a rectangular court yard 30 m long and 16 1 / 2 m board ?"
1,1,general,20 liters of a mixture is created by mixing liquid p and liquid q in the ratio 3 : 2 . how many liters of liquid q must be added to make the ratio 4 : 3 ?
4795.93,s.4800,gain,a sum amounts to rs . 5292 in 2 years at the rate of 5 % p . a . if interest was compounded yearly then what was the principal ?
15.56,15.56,physics,express a speed of 56 kmph in meters per second ?
372,372,general,"in a fuel station the service costs $ 1.75 per car , every liter of fuel costs 0.65 $ . assuming that a company owns 12 cars and that every fuel tank contains 45 liters and they are all empty , how much money total will it cost to fuel all cars ?"
42,42,physics,"a group of men decided to do a work in 12 days , but 6 of them became absent . if the rest of the group did the work in 14 days , find the original number of men ?"
$156,$156,gain,"a sells a cricket bat to b at a profit of 20 % . b sells it to c at a profit of 25 % . if c pays $ 234 for it , the cost price of the cricket bat for a is :"
56,56,physics,"a rectangular plot measuring 90 metres by 50 metres is to be enclosed by wire fencing . if the poles of the fence are kept 5 metres apart , how many poles will be needed ?"
24%,20,gain,"in town x , 64 percent of the population are employed , and 49 percent of the population are employed males . what percent of the employed people in town x are females ?"
72 minutes,48,physics,"the hiker walking at a constant rate of 6 miles per hour is passed by a motor - cyclist traveling in the same direction along the same path at 30 miles per hour . the motor - cyclist stops to wait for the hiker 12 minutes after passing her , while the hiker continues to walk at her constant rate , how many minutes must the motor - cyclist wait until the hiker catches up ?"
18,18,physics,"the speed at which a man can row a boat in still water is 15 kmph . if he rows downstream , where the speed of current is 3 kmph , what time will he take to cover 90 metres ?"
8.25,8.25,physics,"a train consists of 12 boggies , each boggy 15 metres long . the train crosses a telegraph post in 9 seconds . due to some problem , one boggies were detached . the train now crosses a telegraph post in"
12,12,gain,a lent rs . 5000 to b for 2 years and rs . 3000 to c for 4 years on simple interest at the same rate of interest and received rs . 2640 in all from both of them as interest . the rate of interest per annum is ?
4/13,4/13,general,tickets numbered from 1 to 26 are mixed and then a ticket is selected randomly . what is the probability that the selected ticket bears a number which is a multiple of 3 ?
400,400,gain,"in a certain boys camp , 20 % of the total boys are from school a and 30 % of those study science . if there are 56 boys in the camp that are from school a but do not study science then what is the total number of boys in the camp ?"
20,21,geometry,the number 219 can be written as sum of the squares of 3 different positive integers . what is the sum of these 3 different integers ?
7/27,7/27,general,"a certain list consists of 21 different numbers . if n is in the list and n is 7 times the average ( arithmetic mean ) of the other 20 numbers in the list , then n is what fraction of the sum of the 21 numbers in the list ?"
68,68,general,in a boat there are 8 men whose average weight is increased by 1 kg when 1 man of 60 kg is replaced by a new man . what is weight of new comer ?
6,6,other,the ratio of a and b is 5 : 3 . after 2 years their ratio is 3 : 2 . what is the age of b ?
240 km,840,physics,"a train leaves delhi at 7 a . m . at a speed of 30 kmph . another train leaves at 2 p . m . at a speed of 40 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?"
1/4,1/4,general,"if the probability of rain on any given day in chicago during the summer is 50 % , independent of what happens on any other day , what is the probability of having exactly 3 rainy days from july 4 through july 7 , inclusive ?"
1536 sq cm,1536 sq cm,geometry,"eight cubes , each with a volume of 512 cm ^ 3 , are joined to form one large cube . what is the surface area of the large cube ?"
20 cm,40 cm,geometry,"the length of a rectangle is twice its breadth . if its lengthis decreased by 5 cm & breadth is increased by 5 cm , the area of the rectangle is increased by 75 sq . cm . what is the length of the rectangle ?"
Rs. 59392,64800,general,every year an amount increases by 1 / 8 th of itself . how much will it be after two years if its present value is rs . 51200 ?
6.6,6.6,general,"set s contains exactly 10 numbers and has an average ( arithmetic mean ) of 6.2 . if one of the numbers in set s is increased by 4 , while all other numbers remain the same , what is the new average of set s ?"
40%,66+2/3%,gain,"during a sale of 20 % on everything in a store , a kid is successful in convincing the store manager to give him 20 candies for the discounted price of 14 candies . the store still makes a profit of 18 % on this sale . what is the mark up percentage on each candy ?"
24,24,general,how many numbers are divisible by 4 between 1 and 100 .
50,50,general,"if a person walks at 14 km / hr instead of 10 km / hr , he would have walked 20 km more . what is the actual distance travelled by him ?"
4 months,6,general,"arjun started a business with rs . 40,000 and is joined afterwards by anoop with rs . 80 , 000 . after how many months did anoop join if the profits at the end of the year are divided equally ?"
"55,543,445",55544445,general,5555 Ã— 9999 = ?
"1,949,209",1951609,general,1397 x 1397 = ?
26,26,general,"if 5 < x < 11 and y = x + 6 , what is the greatest possible integer value of x + y ?"
3.8,3.8,physics,"pipe p can fill a tank in 8 hours , pipe q in 12 hours and pipe r in 20 hours . if all the pipes are open , in how many hours will the tank be filled ?"
1/6,5/17,general,"a worker ' s take - home pay last year was the same each month , and she saved the same fraction of her take - home pay each month . the total amount of money that she had saved at the end of the year was 5 times the amount of that portion of her monthly take - home pay that she did not save . if all the money that she saved last year was from her take - home pay , what fraction of her take - home pay did she save each month ?"
Rs. 25.25,21.6,gain,"a trader mixes 80 kg of tea at 15 per kg with 20 kg of tea at cost price of 20 per kg . in order to earn a profit of 35 % , what should be the sale price of the mixed tea ?"
11/120,11/120,general,"if the sum of two numbers is 55 and the h . c . f and l . c . m of these numbers are 5 and 120 respectively , then the sum of the reciprocal of the numbers is equal to :"
24.75%,2900/129,gain,a person bought 129 glass bowls at a rate of rs . 11 per bowl . he sold 118 of them at rs . 15 and the remaining broke . what is the percentage gain for a ?
5.76,5.76,geometry,"a cube of edge 12 cm is immersed completely in a rectangular vessel containing water . if the dimensions of the base of vessel are 20 cm * 15 cm , find the rise in water level ?"
9 hours,5,physics,"two cars are driving toward each other . the first car is traveling at a speed of 100 km / h , which is 20 % slower than the second car ' s speed . if the distance between the cars is 1125 km , how many hours will it take until the two cars meet ?"
233,233,physics,a train 140 m long running at 84 kmph crosses a platform in 16 sec . what is the length of the platform ?
140 kmph,35 kmph,physics,"by travelling at 70 kmph , a person reaches his destination on time . he covered two - third the total distance in one - third of the total time . what speed should he maintain for the remaining distance to reach his destination on time ?"
275 people,650,general,"the cost of registration at a professional association meeting was $ 50 per person ; a lunch for registrants only was available for an additional $ 22 per person . if the number of registrants who paid for lunch was 50 more than the number who did not , and if receipts for registration and lunch totaled $ 82,900 , how many people paid just for registration at the meeting ?"
8,4,general,the unit digit in the product ( 594 * 897 * 929 * 462 ) is :
300,300,general,how many times will the digit 8 be written when listing the integers from 1 to 1000 ?
